Transaction ID,Date,Time,Items & Customizations,Payment Method,Subtotal (RM),Voucher Code,Discount (RM),Grand Total (RM),Cheese tofu,Fish ball,Fish cake,Hotdog,Lemonade,Lobster ball,Maggie,Mocktail
37,12/01/2026,13:09:30,1x Cheese tofu; 1x Lobster ball; 1x Hotdog,CASH,4.5,,0,4.5,1,0,0,1,0,1,0,0
38,12/01/2026,13:09:39,1x Cheese tofu; 1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog,CASH,7.5,,0,7.5,1,1,1,1,0,1,0,0
39,12/01/2026,13:11:10,1x Fish cake; 1x Cheese tofu; 1x Maggie; 1x Mocktail,QR,8.5,RM 1 OFFER,1,7.5,1,0,1,0,0,0,1,1
40,12/01/2026,13:12:15,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
41,12/01/2026,13:14:14,1x Maggie,CASH,1.5,,0,1.5,0,0,0,0,0,0,1,0
42,12/01/2026,13:16:01,1x Fish cake; 1x Hotdog; 1x Mocktail,QR,7,RM 1 OFFER,1,6,0,0,1,1,0,0,0,1
43,12/01/2026,13:24:02,1x Cheese tofu; 1x Fish ball; 1x Maggie,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
43,12/01/2026,13:24:02,1x Cheese tofu; 1x Fish ball; 1x Maggie,QR,4.5,,0,,1,1,0,0,0,0,1,0
44,12/01/2026,13:25:10,1x Hotdog,QR,1.5,,0,1.5,0,0,0,1,0,0,0,0
45,12/01/2026,13:28:50,2x Cheese tofu; 1x Maggie; 1x Fish cake,QR,6,,0,6,2,0,1,0,0,0,1,0
46,12/01/2026,13:30:08,1x Maggie; 2x Fish cake; 1x Fish ball,QR,6,,0,4.5,0,1,2,0,0,0,1,0
47,12/01/2026,13:34:03,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
48,12/01/2026,13:38:02,1x Fish ball; 1x Fish cake; 1x Lobster ball; 1x Cheese tofu,QR,6,,0,6,1,1,1,0,0,1,0,0
49,12/01/2026,13:42:31,1x Fish ball; 2x Maggie,QR,4.5,,0,4.5,0,1,0,0,0,0,2,0
50,12/01/2026,13:44:52,1x Fish cake; 1x Fish ball; 1x Lobster ball,QR,4.5,,0,4.5,0,1,1,0,0,1,0,0
51,12/01/2026,13:45:07,1x Maggie,QR,1.5,,0,1.5,0,0,0,0,0,0,1,0
52,12/01/2026,13:49:04,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Lemonade; 1x Fish ball; 1x Maggie,QR,11.5,RM 1 OFFER,1,10.5,0,2,1,0,1,1,1,0
53,12/01/2026,13:58:23,2x Maggie; 1x Hotdog,QR,4.5,,0,,0,0,0,1,0,0,2,0
53,12/01/2026,13:58:23,all,QR,4.5,,0,9,0,0,0,0,0,0,0,0
55,12/01/2026,14:00:15,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
56,12/01/2026,14:01:03,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
58,12/01/2026,14:05:47,2x Fish ball; 2x Lobster ball; 2x Hotdog; 1x Cheese tofu; 1x Mocktail; 1x Maggie,QR,16,RM 1 OFFER,1,15,1,2,0,2,0,2,1,1
59,12/01/2026,14:07:28,1x Hotdog; 2x Maggie; 1x Mocktail,CASH,8.5,,0,8.5,0,0,0,1,0,0,2,1
60,12/01/2026,14:07:53,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
7,12/01/2026,14:11:33,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Mocktail,QR,11.5,RM 1 OFFER,1,10.5,1,1,1,1,0,1,0,1
8,12/01/2026,14:13:44,1x Cheese tofu; 1x Maggie; 1x Fish ball,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
9,12/01/2026,14:22:08,1x Fish cake; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
10,12/01/2026,15:02:13,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
11,12/01/2026,15:17:56,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
12,13/01/2026,09:43:33,1x Maggie; 1x Fish ball; 1x Lobster ball; 1x Cheese tofu; 1x Hotdog,QR,7.5,,0,7.5,1,1,0,1,0,1,1,0
13,13/01/2026,09:51:03,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
14,13/01/2026,09:52:04,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
16,13/01/2026,10:02:34,1x Cheese tofu; 1x Hotdog; 1x Maggie,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
17,13/01/2026,10:06:38,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
18,13/01/2026,10:07:16,1x Maggie; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
19,13/01/2026,10:12:14,1x Lobster ball,QR,1.5,,0,1.5,0,0,0,0,0,1,0,0
21,13/01/2026,10:17:18,2x Fish cake; 1x Cheese tofu; 1x Hotdog; 1x Fish ball,QR,7.5,,0,7.5,1,1,2,1,0,0,0,0
22,13/01/2026,10:19:12,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
24,13/01/2026,10:22:15,1x Maggie; 1x Cheese tofu; 1x Fish cake; 1x Hotdog,QR,6,,0,6,1,0,1,1,0,0,1,0
25,13/01/2026,10:25:48,1x Fish cake; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
31,13/01/2026,10:36:35,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
32,13/01/2026,10:48:28,1x Maggie; 1x Hotdog; 1x Maggie,CASH,4.5,,0,4.5,0,0,0,1,0,0,2,0
33,13/01/2026,10:53:50,1x Cheese tofu; 1x Lobster ball,QR,3,,0,3,1,0,0,0,0,1,0,0
34,13/01/2026,10:54:22,1x Fish ball; 1x Cheese tofu; 1x Mocktail,QR,7,RM 1 OFFER,1,6,1,1,0,0,0,0,0,1
35,13/01/2026,10:55:48,1x Fish ball; 1x Fish cake; 1x Lobster ball,CASH,4.5,,0,4.5,0,1,1,0,0,1,0,0
36,13/01/2026,10:56:44,1x Lemonade,CASH,4,RM 1 OFFER,1,3,0,0,0,0,1,0,0,0
42,13/01/2026,11:26:44,1x Maggie; 1x Fish ball; 1x Cheese tofu,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
43,13/01/2026,11:27:52,1x Maggie; 1x Cheese tofu; 1x Hotdog; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,0,1,0
44,13/01/2026,11:29:25,2x Maggie; 1x Hotdog,QR,4.5,,0,4.5,0,0,0,1,0,0,2,0
45,13/01/2026,11:30:07,1x Maggie; 2x Cheese tofu; 1x Lobster ball; 1x Hotdog; 1x Fish cake,QR,9,,0,9,2,0,1,1,0,1,1,0
46,13/01/2026,11:36:13,1x Lemonade,QR,4,RM 1 OFFER,1,3,0,0,0,0,1,0,0,0
47,13/01/2026,11:45:16,2x Maggie; 1x Cheese tofu; 2x Lobster ball,QR,7.5,,0,7.5,1,0,0,0,0,2,2,0
48,13/01/2026,11:54:07,1x Cheese tofu; 1x Lobster ball; 1x Hotdog; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,1,0,0
49,13/01/2026,11:57:30,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
50,13/01/2026,12:07:11,1x Fish cake; 1x Fish ball; 1x Hotdog; 1x Maggie,QR,6,,0,6,0,1,1,1,0,0,1,0
51,13/01/2026,12:08:22,1x Maggie; 1x Fish cake; 1x Lobster ball; 1x Cheese tofu; 1x Mocktail,QR,10,RM 1 OFFER,1,9,1,0,1,0,0,1,1,1
52,13/01/2026,12:09:00,1x Maggie; 1x Cheese tofu; 1x Fish cake,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
53,13/01/2026,12:12:22,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
54,13/01/2026,12:14:05,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
54,13/01/2026,12:14:05,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,,1,1,1,1,0,1,1,0
55,13/01/2026,12:20:34,1x Hotdog; 1x Fish cake; 1x Lobster ball; 1x Fish ball; 1x Cheese tofu; 1x Maggie; 1x Lemonade,QR,13,RM 1 OFFER,1,12**,1,1,1,1,1,1,1,0
56,13/01/2026,12:22:01,1x Cheese tofu; 1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Maggie,QR,7.5,,0,7.5,1,1,1,0,0,1,1,0
57,13/01/2026,12:22:42,1x Mocktail,QR,4,RM 1 OFFER,1,3,0,0,0,0,0,0,0,1
58,13/01/2026,12:27:03,1x Hotdog; 1x Cheese tofu; 1x Fish cake; 1x Maggie,QR,6,,0,6,1,0,1,1,0,0,1,0
59,13/01/2026,12:28:08,1x Maggie; 1x Fish ball; 1x Cheese tofu,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
60,13/01/2026,12:29:10,1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
61,13/01/2026,12:29:42,1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,4.5,,0,4.5,1,1,0,0,0,0,1,0
62,13/01/2026,12:30:44,1x Cheese tofu; 1x Fish cake,QR,3,,0,3,1,0,1,0,0,0,0,0
63,13/01/2026,12:30:59,1x Maggie; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
64,13/01/2026,12:32:04,1x Cheese tofu; 1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
65,13/01/2026,12:38:37,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
66,13/01/2026,12:42:07,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
67,13/01/2026,12:48:23,1x Maggie; 1x Lobster ball; 1x Fish cake,QR,4.5,,0,4.5,0,0,1,0,0,1,1,0
68,13/01/2026,12:50:04,1x Cheese tofu; 1x Maggie; 1x Lobster ball,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
69,13/01/2026,12:51:41,1x Fish cake; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
70,13/01/2026,12:53:15,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,CASH,9,,0,9,1,1,1,1,0,1,1,0
71,13/01/2026,12:54:26,1x Fish ball,QR,1.5,,0,1.5,0,1,0,0,0,0,0,0
72,13/01/2026,12:55:44,1x Maggie; 1x Cheese tofu; 1x Lobster ball; 1x Fish ball,QR,6,,0,,1,1,0,0,0,1,1,0
72,13/01/2026,12:55:44,1x Maggie; 1x Cheese tofu; 1x Lobster ball; 1x Fish ball,QR,6,,0,6,1,1,0,0,0,1,1,0
73,13/01/2026,12:56:29,1x Lobster ball; 1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,6,,0,,1,1,0,0,0,1,1,0
74,13/01/2026,12:56:48,1x Cheese tofu; 1x Fish cake,CASH,3,,0,3,1,0,1,0,0,0,0,0
75,13/01/2026,12:57:09,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
75,13/01/2026,12:57:09,2x Maggie; 1x Cheese tofu,QR,4.5,,0,,1,0,0,0,0,0,2,0
77,13/01/2026,12:59:31,2x Maggie; 1x Cheese tofu; 1x Lobster ball; 1x Hotdog,QR,7.5,,0,7.5,1,0,0,1,0,1,2,0
78,13/01/2026,12:59:53,1x Maggie; 1x Cheese tofu; 1x Lobster ball,QR,4.5,,0,4.5,1,0,0,0,0,1,1,0
79,13/01/2026,13:01:24,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie,QR,9,,0,9,1,1,1,1,0,1,1,0
80,13/01/2026,13:02:36,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
81,13/01/2026,13:09:38,1x Cheese tofu; 1x Fish cake,QR,3,,0,3,1,0,1,0,0,0,0,0
82,13/01/2026,13:11:11,1x Fish ball; 1x Lobster ball; 1x Hotdog,QR,4.5,,0,4.5,0,1,0,1,0,1,0,0
83,13/01/2026,13:12:17,2x Hotdog,QR,3,,0,3,0,0,0,2,0,0,0,0
84,13/01/2026,13:13:25,1x Maggie; 1x Fish cake; 1x Cheese tofu; 1x Fish ball,CASH,6,,0,6,1,1,1,0,0,0,1,0
84,13/01/2026,13:13:25,1x Maggie; 1x Fish cake; 1x Cheese tofu; 1x Fish ball,CASH,6,,0,,1,1,1,0,0,0,1,0
85,13/01/2026,13:15:41,1x Maggie; 1x Hotdog; 1x Fish cake,CASH,4.5,,0,4.5,0,0,1,1,0,0,1,0
86,13/01/2026,13:20:54,1x Maggie; 1x Lobster ball; 1x Hotdog,QR,4.5,,0,4.5,0,0,0,1,0,1,1,0
87,13/01/2026,13:22:03,1x Fish ball; 1x Lobster ball; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Maggie; 1x Lemonade,QR,13,RM 1 OFFER,1,12,1,1,1,1,1,1,1,0
88,13/01/2026,13:30:31,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
89,13/01/2026,13:31:27,1x Maggie; 1x Cheese tofu,QR,3,,0,3,1,0,0,0,0,0,1,0
90,13/01/2026,13:37:00,1x Maggie; 1x Cheese tofu; 1x Hotdog; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,0,1,0
91,13/01/2026,13:49:44,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
92,13/01/2026,14:00:27,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
93,13/01/2026,14:01:35,1x Cheese tofu; 1x Lobster ball,CASH,3,,0,3,1,0,0,0,0,1,0,0
94,13/01/2026,14:04:49,1x Lemonade; 1x Cheese tofu; 1x Maggie,QR,7,RM 1 OFFER,1,6,1,0,0,0,1,0,1,0
95,13/01/2026,14:05:59,1x Maggie; 1x Lobster ball; 1x Cheese tofu; 1x Maggie; 1x Fish ball; 1x Lobster ball,QR,9,,0,9,1,1,0,0,0,2,2,0
96,13/01/2026,14:07:24,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
97,13/01/2026,14:09:18,1x Fish ball; 1x Cheese tofu; 2x Fish cake,QR,6,,0,6,1,1,2,0,0,0,0,0
98,13/01/2026,14:10:18,1x Hotdog; 1x Fish ball,QR,3,,0,3,0,1,0,1,0,0,0,0
99,13/01/2026,14:12:18,1x Maggie; 2x Cheese tofu,CASH,4.5,,0,4.5,2,0,0,0,0,0,1,0
100,13/01/2026,14:12:29,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
101,13/01/2026,14:23:39,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
102,13/01/2026,14:26:23,1x Maggie; 2x Cheese tofu; 1x Fish ball,QR,6,,0,6,2,1,0,0,0,0,1,0
103,13/01/2026,14:28:36,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
104,13/01/2026,14:33:37,1x Maggie; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
105,13/01/2026,14:37:53,1x Lemonade,CASH,4,,0,4,0,0,0,0,1,0,0,0
106,13/01/2026,14:38:29,2x Mocktail,QR,8,,0,8,0,0,0,0,0,0,0,2
107,13/01/2026,14:39:10,1x Lemonade,QR,4,,0,,0,0,0,0,1,0,0,0
108,13/01/2026,14:41:55,1x Maggie; 1x Fish ball; 1x Lobster ball; 1x Hotdog; 1x Cheese tofu; 1x Lemonade,QR,11.5,RM 1 OFFER,1,10.5,1,1,0,1,1,1,1,0
109,13/01/2026,14:44:58,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
110,13/01/2026,14:50:49,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
111,13/01/2026,14:51:16,1x Hotdog; 1x Cheese tofu,QR,3,,0,3,1,0,0,1,0,0,0,0
112,13/01/2026,14:51:39,1x Hotdog; 1x Cheese tofu,QR,3,,0,3,1,0,0,1,0,0,0,0
113,13/01/2026,15:05:17,1x Maggie; 1x Hotdog; 1x Cheese tofu; 1x Fish cake,QR,6,,0,6,1,0,1,1,0,0,1,0
114,13/01/2026,15:06:54,1x Maggie; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
115,13/01/2026,15:07:03,1x Maggie; 1x Cheese tofu; 1x Hotdog,QR,4.5,,0,4.5,1,0,0,1,0,0,1,0
116,13/01/2026,15:07:57,1x Maggie; 1x Lobster ball; 1x Cheese tofu; 1x Fish cake; 1x Hotdog,QR,7.5,,0,7.5,1,0,1,1,0,1,1,0
117,13/01/2026,15:11:04,1x Lemonade,CASH,4,,0,4,0,0,0,0,1,0,0,0
118,13/01/2026,15:16:16,1x Cheese tofu; 1x Maggie; 1x Lobster ball; 1x Cheese tofu; 1x Fish cake; 1x Fish cake,QR,9,,0,9,2,0,2,0,0,1,1,0
119,13/01/2026,15:25:57,1x Fish cake; 1x Hotdog; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
120,13/01/2026,15:37:03,1x Fish cake; 1x Fish ball; 1x Cheese tofu; 1x Maggie,QR,6,,0,6,1,1,1,0,0,0,1,0
121,13/01/2026,15:37:47,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
122,13/01/2026,15:39:30,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
123,13/01/2026,15:54:05,2x Lemonade,QR,8,RM 1 OFFER,1,7**,0,0,0,0,2,0,0,0
124,13/01/2026,16:12:15,1x Cheese tofu; 1x Fish cake; 1x Hotdog,QR,4.5,,0,4.5,1,0,1,1,0,0,0,0
125,13/01/2026,16:15:12,1x Hotdog; 1x Cheese tofu; 1x Lobster ball; 1x Maggie,QR,6,,0,6,1,0,0,1,0,1,1,0
126,13/01/2026,16:16:01,1x Maggie; 1x Cheese tofu; 1x Fish ball; 1x Fish cake,QR,6,,0,6,1,1,1,0,0,0,1,0
127,13/01/2026,16:27:52,1x Cheese tofu; 1x Fish ball; 1x Hotdog,QR,4.5,,0,4.5,1,1,0,1,0,0,0,0
128,13/01/2026,16:30:35,2x Cheese tofu; 2x Fish ball; 1x Hotdog,QR,7.5,,0,7.5,2,2,0,1,0,0,0,0
129,14/01/2026,09:58:31,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
130,14/01/2026,10:00:06,1x Hotdog; 1x Fish cake,QR,3,,0,3,0,0,1,1,0,0,0,0
131,14/01/2026,10:04:49,1x Lobster ball; 1x Cheese tofu; 1x Hotdog,CASH,4.5,,0,4.5,1,0,0,1,0,1,0,0
132,14/01/2026,10:08:23,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
133,14/01/2026,10:12:38,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
134,14/01/2026,10:16:43,1x Mocktail,QR,4,,0,,0,0,0,0,0,0,0,1
135,14/01/2026,10:19:51,1x Hotdog; 1x Fish cake; 1x Cheese tofu; 1x Fish ball,QR,6,,0,,1,1,1,1,0,0,0,0
136,14/01/2026,10:21:19,1x Cheese tofu; 1x Hotdog,QR,3,,0,3,1,0,0,1,0,0,0,0
137,14/01/2026,10:22:14,1x Fish ball; 1x Fish cake,QR,3,,0,3,0,1,1,0,0,0,0,0
138,14/01/2026,10:24:09,1x Mocktail; 1x Hotdog; 1x Cheese tofu; 1x Fish cake; 1x Fish ball,QR,10,RM 1 OFFER,1,9,1,1,1,1,0,0,0,1
139,14/01/2026,10:48:06,1x Cheese tofu; 1x Fish cake; 1x Lemonade; 1x Maggie,QR,8.5,RM 1 OFFER,1,7.5,1,0,1,0,1,0,1,0
140,14/01/2026,10:49:05,1x Maggie; 1x Fish ball; 1x Fish cake; 1x Cheese tofu,QR,6,,0,6,1,1,1,0,0,0,1,0
141,14/01/2026,10:50:40,1x Maggie; 1x Fish cake; 1x Cheese tofu; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,1,0,1,0,1,0,1,0
142,14/01/2026,10:51:01,2x Cheese tofu; 1x Maggie; 1x Lemonade,QR,8.5,RM 1 OFFER,1,7.5,2,0,0,0,1,0,1,0
143,14/01/2026,10:56:30,1x Lemonade,QR,4,RM 1 OFFER,1,3,0,0,0,0,1,0,0,0
144,14/01/2026,11:03:12,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
145,14/01/2026,11:14:09,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
146,14/01/2026,11:22:10,1x Fish cake; 1x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,1,0,0,0,1,0
147,14/01/2026,11:22:49,1x Lemonade,QR,4,,0,4,0,0,0,0,1,0,0,0
148,14/01/2026,11:24:51,1x Mocktail,QR,4,,0,4,0,0,0,0,0,0,0,1
149,14/01/2026,11:27:40,1x Maggie; 1x Fish cake; 1x Cheese tofu; 1x Hotdog; 1x Fish ball,QR,7.5,,0,7.5,1,1,1,1,0,0,1,0
150,14/01/2026,11:28:31,1x Maggie; 1x Cheese tofu; 1x Fish cake; 1x Lemonade,QR,8.5,RM 1 OFFER,1,,1,0,1,0,1,0,1,0
151,14/01/2026,11:29:35,2x Maggie; 1x Cheese tofu,QR,4.5,,0,4.5,1,0,0,0,0,0,2,0
152,14/01/2026,11:29:53,3x Maggie; 1x Cheese tofu,QR,6,,0,6,1,0,0,0,0,0,3,0
153,14/01/2026,11:30:57,1x Maggie; 1x Cheese tofu; 1x Lobster ball; 1x Hotdog,QR,6,,0,6,1,0,0,1,0,1,1,0
154,14/01/2026,11:32:34,1x Maggie; 1x Fish cake; 1x Hotdog; 1x Cheese tofu; 1x Fish ball,QR,7.5,,0,7.5,1,1,1,1,0,0,1,0
155,14/01/2026,11:44:15,2x Maggie; 1x Lobster ball; 1x Hotdog,QR,6,,0,6,0,0,0,1,0,1,2,0
156,14/01/2026,11:45:40,2x Fish cake; 1x Fish ball; 1x Cheese tofu; 1x Lobster ball; 1x Hotdog,QR,9,,0,9,1,1,2,1,0,1,0,0
157,14/01/2026,11:49:01,1x Fish cake; 1x Fish cake; 1x Fish ball; 1x Maggie,CASH,6,,0,6,0,1,2,0,0,0,1,0
